721754576	[STAT ]: 	DELTA	32510	0	138566
721754619	[STAT ]: 	DELTA	13280	0	181485
721754630	[STAT ]: 	DELTA	32511	0	53194
721754641	[STAT ]: 	DELTA	32512	0	59345
721754641	[STAT ]: 	DELTA	32513	0	59316
721754641	[STAT ]: 	DELTA	32514	0	54863
721754652	[STAT ]: 	DELTA	32515	0	60793
721754653	[STAT ]: 	DELTA	32516	0	56337
721754653	[STAT ]: 	DELTA	32517	0	56172
721754664	[STAT ]: 	DELTA	32518	0	62189
721754675	[STAT ]: 	DELTA	13281	0	55218
721754700	[STAT ]: 	DELTA	32519	0	97538
721754711	[STAT ]: 	DELTA	32520	0	103752
721754756	[STAT ]: 	DELTA	32521	0	148041
721754756	[STAT ]: 	DELTA	32522	0	143337
721754757	[STAT ]: 	DELTA	32523	0	143072
721754758	[STAT ]: 	DELTA	13283	0	125473
721754759	[STAT ]: 	DELTA	13282	0	126524
721754770	[STAT ]: 	DELTA	32524	0	151381
721754781	[STAT ]: 	DELTA	32525	0	149998
721754782	[STAT ]: 	DELTA	13284	0	135425
721754792	[STAT ]: 	DELTA	32526	0	160660
721754793	[STAT ]: 	DELTA	32527	0	155990
721754793	[STAT ]: 	DELTA	32528	0	151466
721754794	[STAT ]: 	DELTA	32529	0	146905
721754804	[STAT ]: 	DELTA	32530	0	152415
721754806	[STAT ]: 	DELTA	32531	0	148253
721754827	[STAT ]: 	DELTA	13285	0	166772
721754837	[STAT ]: 	DELTA	32532	0	174518
721754848	[STAT ]: 	DELTA	32533	0	184679
721754880	[STAT ]: 	DELTA	32534	0	210831
721754891	[STAT ]: 	DELTA	32535	0	221057
721754902	[STAT ]: 	DELTA	32536	0	226558
721754957	[STAT ]: 	DELTA	32537	0	279891
721754957	[STAT ]: 	DELTA	32538	0	275026
721754969	[STAT ]: 	DELTA	32539	0	279652
721754969	[STAT ]: 	DELTA	13287	0	281587
721755002	[STAT ]: 	DELTA	13288	0	313083
721755014	[STAT ]: 	DELTA	32540	0	319842
